bucket_1d,site_id,records,energy_wh,cfp_g,work,ncores,ncores_per_record
2025-11-19 00:00:00,site_f5bcf8a88a,4,88.47004687500001,3.1849216875,167680,512,128.000000
2025-11-20 00:00:00,site_ad3433ffac,13481,22321.737096354173,803.5825354687496,305653541.4857142,1068512,79.260589
2025-11-20 00:00:00,site_e726c7cce5,13476,141192.03376432293,5082.913215515624,203650748.46082965,504896,37.466310
2025-11-20 00:00:00,site_f5bcf8a88a,25736,93536.96861197914,3367.330870031249,888392460.8000001,2735296,106.282872
2025-11-21 00:00:00,site_ad3433ffac,18059,45031.07970399304,1621.11886934375,378645744.9142858,1157944,64.120051
2025-11-21 00:00:00,site_e726c7cce5,14768,58440.31816102431,2103.851453796875,227993676.58175123,572064,38.736728
2025-11-21 00:00:00,site_f5bcf8a88a,42093,53490.76302083333,1925.66746875,1412840147.2000003,4508480,107.107595
2025-11-22 00:00:00,site_ad3433ffac,20054,39790.59080555554,1432.4612689999994,394430557.2571427,1169068,58.296001
2025-11-22 00:00:00,site_e726c7cce5,17101,41109.3397625868,1479.936231453125,263037185.86396295,718224,41.998947
2025-11-22 00:00:00,site_f5bcf8a88a,45201,42561.62152170141,1532.2183747812503,1654770227.2000005,4799744,106.186677
2025-11-23 00:00:00,site_ad3433ffac,10497,9454.511722222223,340.36242200000004,219924376.68571427,681132,64.888254
2025-11-23 00:00:00,site_e726c7cce5,6435,7488.400174913198,269.582406296875,98676265.9332719,263680,40.975913
2025-11-23 00:00:00,site_f5bcf8a88a,25738,13428.762164062497,483.4354379062501,843136780.8000001,2707648,105.200404
2025-11-24 00:00:00,site_ad3433ffac,25622,23515.51596006944,4779.4896601184,539061177.1428571,1472088,57.454063
2025-11-24 00:00:00,site_e726c7cce5,17469,23895.43261284722,2383.2545483048593,241830521.48792621,615408,35.228576
2025-11-24 00:00:00,site_f5bcf8a88a,35339,21995.615600694447,1990.1100338917975,1156879347.1999998,3442880,97.424375
2025-11-25 00:00:00,site_ad3433ffac,22293,27946.34738888889,2965.138844225348,463680741.48571414,1512528,67.847665
2025-11-25 00:00:00,site_e726c7cce5,16394,26737.141387152777,9978.838462696007,235413413.1848847,597792,36.464072
2025-11-25 00:00:00,site_f5bcf8a88a,42031,28363.21907899306,3342.2192548144094,1382648352.0000005,4499584,107.053936
2025-11-26 00:00:00,site_ad3433ffac,23601,26999.673096354167,9940.568346084203,538371495.7714286,1599048,67.753400
2025-11-26 00:00:00,site_e726c7cce5,16013,94323.25223741317,38287.76812508898,274715542.89843315,780816,48.761381
2025-11-26 00:00:00,site_f5bcf8a88a,45268,29557.74139236111,8311.793978668573,1537676044.7999997,4668044,103.120173
2025-11-27 00:00:00,site_ad3433ffac,26804,30702.59095920138,1031.6070562291666,677644762.5142857,1958380,73.062976
2025-11-27 00:00:00,site_e726c7cce5,20331,34475.64897135415,7638.551129163279,314433157.03741944,822928,40.476514
2025-11-27 00:00:00,site_f5bcf8a88a,9982,5987.457966145836,173.87577933687507,331455123.19999987,1036736,103.860549
2025-11-28 00:00:00,site_ad3433ffac,23048,32939.91913368056,1106.7812828916663,443298300.7999999,1020988,44.298334
2025-11-28 00:00:00,site_e726c7cce5,19919,29320.519150607637,6562.787797801298,313265504.25953925,822672,41.300869
2025-11-28 00:00:00,site_f5bcf8a88a,25224,15807.571732638884,459.05731379083335,819859961.6000001,2696256,106.892483
2025-11-29 00:00:00,site_ad3433ffac,20652,24439.365622395828,821.1626849124999,479147858.74285734,1360692,65.886694
2025-11-29 00:00:00,site_e726c7cce5,15927,22075.414187065984,4966.068402379948,272498623.8525344,778464,48.877001
2025-11-29 00:00:00,site_f5bcf8a88a,38557,25926.70016406249,752.9249082337501,1276045459.1999996,3991424,103.520087
2025-11-30 00:00:00,site_ad3433ffac,21021,20149.323285590282,677.0172623958334,417235669.9428572,1338108,63.655773
2025-11-30 00:00:00,site_e726c7cce5,14589,15520.947427951382,3647.7852595114587,241846996.07004604,695608,47.680307
2025-11-30 00:00:00,site_f5bcf8a88a,40431,21428.23866753473,622.2763589189583,1454235353.6,4183624,103.475650
2025-12-01 00:00:00,site_ad3433ffac,5477,4916.384559027779,165.19052118333335,118232363.42857142,404416,73.838963
2025-12-01 00:00:00,site_e726c7cce5,12634,19563.09362109375,6087.048123917883,182104872.49990776,471008,37.280988
2025-12-01 00:00:00,site_f5bcf8a88a,35266,21705.90703125,630.3401838243751,1226072064.0000007,3644544,103.344411
2025-12-02 00:00:00,site_ad3433ffac,6027,5311.189822916667,458.70269836197923,204975218.74285713,558900,92.732703
2025-12-02 00:00:00,site_e726c7cce5,9861,19428.18294835069,6421.7106475125875,117121062.81290323,305508,30.981442
2025-12-02 00:00:00,site_f5bcf8a88a,30885,21188.25825347222,2074.2456492140104,1032520329.6000004,3298480,106.798770
2025-12-03 00:00:00,site_ad3433ffac,13007,14655.528758680555,492.42576629166655,322420212.11428595,934660,71.858230
2025-12-03 00:00:00,site_e726c7cce5,9907,16956.587689236116,7820.848527563019,128893070.36903226,334448,33.758756
2025-12-03 00:00:00,site_f5bcf8a88a,32584,23376.74717708334,678.8629246216668,1099866233.6000006,3342336,102.575988
2025-12-04 00:00:00,site_ad3433ffac,17179,15839.28132638889,532.1998525666666,399620341.4857143,1200924,69.906514
2025-12-04 00:00:00,site_e726c7cce5,12956,16538.963251302084,5813.981930457118,167207170.91391698,406656,31.387465
2025-12-04 00:00:00,site_f5bcf8a88a,30705,16300.237801215275,473.3604086235415,1091457471.9999998,3209088,104.513532
2025-12-05 00:00:00,site_ad3433ffac,23231,20348.669051215285,683.7152801208334,520377766.8571429,1450824,62.452068
2025-12-05 00:00:00,site_e726c7cce5,15761,19578.69446180555,7578.394411133682,217111402.42285708,539712,34.243512
2025-12-05 00:00:00,site_f5bcf8a88a,43713,22423.862791666674,651.1999568525003,1434615244.8,4533900,103.719717
2025-12-06 00:00:00,site_ad3433ffac,9666,8923.29515885417,299.8227173374998,220131204.1142857,603160,62.400166
2025-12-06 00:00:00,site_e726c7cce5,8600,11129.732616753472,2271.372490641406,137728607.57529947,402496,46.801860
2025-12-06 00:00:00,site_f5bcf8a88a,23564,12947.00771180555,376.01898540270815,771389145.6000001,2420288,102.711254
2025-12-07 00:00:00,site_ad3433ffac,13575,11577.292749131946,388.9970363708333,272882026.9714285,877628,64.650313
2025-12-07 00:00:00,site_e726c7cce5,8789,8717.681737413195,2337.141179584896,138593830.7480184,430464,48.977586
2025-12-07 00:00:00,site_f5bcf8a88a,31229,13460.738528645832,390.9122162399998,1031859558.4000003,3255296,104.239521
2025-12-08 00:00:00,site_ad3433ffac,5290,5806.404964409721,195.09520680416665,118891754.05714288,367988,69.562949
2025-12-08 00:00:00,site_e726c7cce5,4036,5453.676801215281,668.809322033854,59228333.96792627,180672,44.765114
2025-12-08 00:00:00,site_f5bcf8a88a,13874,8924.271660590277,259.16108501937515,468244083.2000001,1343360,96.825717
2025-12-09 00:00:00,site_ad3433ffac,7894,6557.302338541666,220.325358575,105650993.37142858,353076,44.727135
2025-12-09 00:00:00,site_e726c7cce5,7690,10320.683674479165,2088.3793295166665,83406752.79041477,270320,35.152146
2025-12-09 00:00:00,site_f5bcf8a88a,16341,7072.808751736111,205.39561530541667,369286444.8,1140416,69.788630
2025-12-10 00:00:00,site_ad3433ffac,31987,22677.73870833333,761.9720206000001,405298912.45714295,1371664,42.881921
2025-12-10 00:00:00,site_e726c7cce5,19869,18114.687503038196,2771.84572101111,174554222.52829495,522628,26.303689
2025-12-10 00:00:00,site_f5bcf8a88a,58588,20936.592491319447,608.0000341829168,1279274627.2000003,4136544,70.603946
2025-12-11 00:00:00,site_ad3433ffac,29318,14769.016518229164,496.2389550125001,466397137.37142867,1578596,53.843918
2025-12-11 00:00:00,site_e726c7cce5,20054,13030.958213541664,437.84019597500003,225017585.99668205,654460,32.634886
2025-12-11 00:00:00,site_f5bcf8a88a,53975,15680.02019618056,455.35129198916667,1351453635.1999998,4422356,81.933414
2025-12-12 00:00:00,site_ad3433ffac,20422,20072.322814236108,674.4300465583335,382481235.657143,1214376,59.464107
2025-12-12 00:00:00,site_e726c7cce5,12151,16123.1666532118,541.7383995479167,159151347.6364977,465800,38.334293
2025-12-12 00:00:00,site_f5bcf8a88a,42192,23290.524324652797,676.3568263879164,1324764313.5999994,4104204,97.274460
2025-12-13 00:00:00,site_ad3433ffac,8074,10659.357526041666,358.15441287499993,171247852.34285703,555384,68.786723
2025-12-13 00:00:00,site_e726c7cce5,5337,10158.315156684028,341.3193892645835,81364469.26451609,242544,45.445756
2025-12-13 00:00:00,site_f5bcf8a88a,19843,11549.758057291669,335.4089796785417,730357689.6000001,2124928,107.087033
2025-12-14 00:00:00,site_ad3433ffac,10654,11350.459974826386,381.3754551541666,222139311.54285708,782692,73.464614
2025-12-14 00:00:00,site_e726c7cce5,8238,13424.555651041665,451.06506987499995,105718166.69198152,263664,32.005827
2025-12-14 00:00:00,site_f5bcf8a88a,26518,14786.7707265625,429.40948938687507,970526559.9999998,2690752,101.468889
2025-12-15 00:00:00,site_ad3433ffac,29470,23823.683503472228,800.5878158208335,627221873.3714283,2000736,67.890601
2025-12-15 00:00:00,site_e726c7cce5,19242,37325.4299092882,1254.2960885541668,257436588.1747465,677728,35.221287
2025-12-15 00:00:00,site_f5bcf8a88a,55186,23507.430385416657,683.1625316395832,2048354380.8000011,5889280,106.716921
2025-12-16 00:00:00,site_ad3433ffac,25953,22692.97078732639,762.4838184541665,493797139.19999987,1438788,55.438215
2025-12-16 00:00:00,site_e726c7cce5,18625,22570.36529687499,758.364273975,240697931.00682032,640464,34.387329
2025-12-16 00:00:00,site_f5bcf8a88a,55366,22369.791157118052,649.6187352027086,2066643545.6000001,5810624,104.949319
2025-12-17 00:00:00,site_ad3433ffac,3879,5020.404635416667,168.68559574999998,78718737.82857147,268128,69.122970
2025-12-17 00:00:00,site_e726c7cce5,2807,4156.641063368054,139.66313972916666,38698485.235023044,104576,37.255433
2025-12-17 00:00:00,site_f5bcf8a88a,10271,6227.947908854167,181.18211073583336,340671046.40000004,1114368,108.496544
2025-12-18 00:00:00,site_ad3433ffac,178,111.25602690972222,3.738202504166666,4670347.428571427,10768,60.494382
2025-12-18 00:00:00,site_e726c7cce5,6904,6476.026999565972,217.59450718541663,161202172.7026728,537120,77.798378
2025-12-18 00:00:00,site_f5bcf8a88a,6007,3484.966857638888,101.20343754583331,206331756.79999998,642688,106.989845
2025-12-19 00:00:00,site_ad3433ffac,165,479.2854687500001,16.103991750000002,3845873.8285714285,10016,60.703030
2025-12-19 00:00:00,site_e726c7cce5,265,788.5333997395837,26.49472223125,4945727.168294929,16096,60.739623
2025-12-19 00:00:00,site_f5bcf8a88a,9788,7683.080458333333,223.12061278500005,322044243.2000003,976684,99.783817
2025-12-20 00:00:00,site_ad3433ffac,9254,13823.999378472223,464.48637911666657,196310784,620840,67.088826
2025-12-20 00:00:00,site_e726c7cce5,5625,6781.257627604163,227.85025628749995,116190940.57880183,398048,70.764089
2025-12-20 00:00:00,site_f5bcf8a88a,62340,49074.98855642361,1425.137667678542,2057430489.6000006,6074240,97.437279
2025-12-21 00:00:00,site_ad3433ffac,7944,12920.321147569442,434.1227905583334,163895603.65714288,451124,56.788016
2025-12-21 00:00:00,site_e726c7cce5,5753,12971.824007812496,435.86707995104166,87283041.28589861,247776,43.069007
2025-12-21 00:00:00,site_f5bcf8a88a,12841,11241.832339409724,326.46281113645824,437117055.99999994,1360384,105.940659
2025-12-22 00:00:00,site_ad3433ffac,18088,21910.16616493055,737.2798989020831,367823935.5428571,1161636,64.221362
2025-12-22 00:00:00,site_e726c7cce5,13050,26391.84381163194,887.7131987458336,175929491.27668196,497216,38.100843
2025-12-22 00:00:00,site_f5bcf8a88a,21669,12661.286401041665,369.739325325,819548492.8000005,2290560,105.706770
2025-12-23 00:00:00,site_ad3433ffac,10347,22297.924343749997,753.8472214166665,220753501.25714278,728852,70.440901
2025-12-23 00:00:00,site_e726c7cce5,8176,22989.204312934027,775.7635309187499,105387481.67668205,289712,35.434442
2025-12-23 00:00:00,site_f5bcf8a88a,20056,19906.7146892361,587.9274082791668,712518752.0000001,2119488,105.678500
2025-12-24 00:00:00,site_ad3433ffac,10485,23776.696723958343,800.77352934375,240915229.71428573,767200,73.171197
2025-12-24 00:00:00,site_e726c7cce5,8216,32835.394871961806,1106.6953985052082,99361290.61161292,260144,31.663096
2025-12-24 00:00:00,site_f5bcf8a88a,19142,19083.44067361111,558.658486913333,630252063.9999999,1988480,103.880472
2025-12-25 00:00:00,site_ad3433ffac,11966,10662.822798611112,358.4197983562498,253251268.57142854,841920,70.359351
2025-12-25 00:00:00,site_e726c7cce5,8228,13288.957482204863,446.8462037041667,103163489.7223963,285120,34.652406
2025-12-25 00:00:00,site_f5bcf8a88a,15608,9821.931280381941,286.1397259268751,519784083.20000005,1561408,100.038954
2025-12-26 00:00:00,site_ad3433ffac,17876,21906.931651909712,736.185567327083,388507648.91428566,1255828,70.252182
2025-12-26 00:00:00,site_e726c7cce5,8414,16403.75981206597,551.3152477312502,100141583.65493089,268304,31.887806
2025-12-26 00:00:00,site_f5bcf8a88a,27490,21771.683117187516,632.7728282135414,913468972.8000002,2775808,100.975191
2025-12-27 00:00:00,site_ad3433ffac,291,0,0,0,3492,12.000000
2025-12-27 00:00:00,site_e726c7cce5,41,0,0,0,492,12.000000
2025-12-27 00:00:00,site_f5bcf8a88a,205,0,0,0,2460,12.000000
2025-12-28 00:00:00,site_ad3433ffac,521,1.680040798611111,0.05644937083333333,3598516.571428572,17452,33.497121
2025-12-28 00:00:00,site_e726c7cce5,3096,0.7565199652777777,0.02541907083333333,994716.5375115209,39492,12.755814
2025-12-28 00:00:00,site_f5bcf8a88a,1919,4.955623263888888,0.14396393458333331,23970758.4,84700,44.137572
2025-12-29 00:00:00,site_ad3433ffac,7082,5637.783519097221,189.43567667916665,149544911.54285714,511472,72.221406
2025-12-29 00:00:00,site_e726c7cce5,5617,5955.338828993056,200.10777059374988,76414157.17161287,225568,40.158092
2025-12-29 00:00:00,site_f5bcf8a88a,17129,7607.346701388891,220.93962094541666,505569791.9999999,1533720,89.539378
2025-12-30 00:00:00,site_ad3433ffac,21019,24886.18549131946,836.2439802729167,428267573.94285727,1542824,73.401399
2025-12-30 00:00:00,site_e726c7cce5,16239,28411.444964843744,954.9686610937501,230942156.96516123,693120,42.682431
2025-12-30 00:00:00,site_f5bcf8a88a,34466,24823.142263888883,721.0986424522916,1176757382.4000006,3564672,103.425753
2025-12-31 00:00:00,site_ad3433ffac,16649,23072.652180555553,775.3122904729164,339206985.1428571,1046680,62.867439
2025-12-31 00:00:00,site_e726c7cce5,14183,30529.599006510416,1026.0307061833335,175930493.92368674,496112,34.979341
2025-12-31 00:00:00,site_f5bcf8a88a,8922,7217.373355902778,209.71734145895834,313643763.2000001,967232,108.409774
2026-01-01 00:00:00,site_ad3433ffac,12828,13562.182823784718,455.7454883270832,276094893.257143,979032,76.319925
2026-01-01 00:00:00,site_e726c7cce5,7576,13999.219930989588,470.4084887864584,91075099.80608295,238416,31.469905
2026-01-01 00:00:00,site_f5bcf8a88a,32093,14167.322558159727,411.7098378820834,1155043347.1999993,3502656,109.140810
2026-01-02 00:00:00,site_ad3433ffac,14225,13772.190918402777,464.38758267291666,309637833.6,990352,69.620527
2026-01-02 00:00:00,site_e726c7cce5,6733,10378.463729600699,349.6680693937499,100034440.94820274,283088,42.044854
2026-01-02 00:00:00,site_f5bcf8a88a,16516,8396.381169270833,247.92524831645832,633839398.4,1776128,107.539840
2026-01-03 00:00:00,site_ad3433ffac,6907,5226.43114409722,175.60808644166661,146007392.45714286,428196,61.994498
2026-01-03 00:00:00,site_e726c7cce5,4656,5711.479873697915,191.9059868364583,54646982.8954839,139040,29.862543
2026-01-03 00:00:00,site_f5bcf8a88a,11564,3598.847111111111,104.51052010666669,422353286.4000001,1214400,105.015566
2026-01-04 00:00:00,site_ad3433ffac,8584,10605.352526041668,356.36520329166666,163256153.1428571,389580,45.384436
2026-01-04 00:00:00,site_e726c7cce5,7679,13961.941545572918,469.215930159375,93976023.25824887,259296,33.766897
2026-01-04 00:00:00,site_f5bcf8a88a,15741,9083.569995659722,263.97140601145844,541118188.8000002,1631872,103.670161
2026-01-05 00:00:00,site_ad3433ffac,8179,11839.569625868055,397.8156654708335,167517308.8,612560,74.894241
2026-01-05 00:00:00,site_e726c7cce5,8082,16808.420929687505,564.8730083979165,114509306.6676497,340032,42.072754
2026-01-05 00:00:00,site_f5bcf8a88a,14460,12551.200768229177,364.8209859431249,475218515.1999998,1512064,104.568741
2026-01-06 00:00:00,site_ad3433ffac,15675,21529.87519097222,723.4356348979165,318500110.6285714,1070404,68.287337
2026-01-06 00:00:00,site_e726c7cce5,23376,36779.94480381943,1235.9150321614582,373360159.58709687,1200168,51.341889
2026-01-06 00:00:00,site_f5bcf8a88a,29704,22775.086236979172,661.4332287954167,1032337747.2,3081216,103.730676
2026-01-07 00:00:00,site_ad3433ffac,38999,32116.36068576389,1079.1847427729174,794747606.3999999,2539956,65.128747
2026-01-07 00:00:00,site_e726c7cce5,28460,28201.35351302083,947.5971449885416,452726152.9305068,1442928,50.700211
2026-01-07 00:00:00,site_f5bcf8a88a,63004,29346.566257812505,852.3823561302084,2092417849.6,6480704,102.861787
2026-01-08 00:00:00,site_ad3433ffac,21606,18906.65837065972,635.4199229312501,468796045.2571427,1601388,74.117745
2026-01-08 00:00:00,site_e726c7cce5,15225,16900.528972656244,567.9490824947915,249076738.93161288,791904,52.013399
2026-01-08 00:00:00,site_f5bcf8a88a,47552,27594.143473958335,801.743543085834,1748128499.2000005,4971008,104.538358
2026-01-09 00:00:00,site_ad3433ffac,18512,16326.993023437495,1534.548667520312,387072842.0571429,1305568,70.525497
2026-01-09 00:00:00,site_e726c7cce5,10383,11272.511502604166,857.3744796233507,181631384.57364058,588304,56.660310
2026-01-09 00:00:00,site_f5bcf8a88a,29284,16006.378755208341,1038.9948955626298,990431398.3999996,3112704,106.293676
2026-01-10 00:00:00,site_ad3433ffac,7704,8428.154556423606,931.2106538074652,162273342.62857145,604904,78.518172
2026-01-10 00:00:00,site_e726c7cce5,6681,8646.304187500002,766.1137003688367,112624059.2516129,352256,52.725041
2026-01-10 00:00:00,site_f5bcf8a88a,14660,9602.704796006949,821.856763556432,515348908.79999995,1516288,103.430286
2026-01-11 00:00:00,site_ad3433ffac,7211,6538.002960937501,5450.838491690973,157709664.91428575,568716,78.867841
2026-01-11 00:00:00,site_e726c7cce5,6626,8615.457848958335,3716.4042240578997,111722743.88350229,357472,53.949894
2026-01-11 00:00:00,site_f5bcf8a88a,11779,6565.081047743054,4074.451618671329,392956864,1213056,102.984634
2026-01-12 00:00:00,site_ad3433ffac,16950,18080.57502517362,5549.036951330558,353607247.0857141,1144412,67.516932
2026-01-12 00:00:00,site_e726c7cce5,11626,15700.29877951389,1866.1796734939237,188583725.18930873,629424,54.139343
2026-01-12 00:00:00,site_f5bcf8a88a,26027,16144.138422743057,3416.7635551498092,896075519.9999999,2654848,102.003612
2026-01-13 00:00:00,site_ad3433ffac,21275,22834.136261284722,13457.004157517878,484202510.6285715,1625408,76.399906
2026-01-13 00:00:00,site_e726c7cce5,18927,27491.328446614578,6604.9544437436625,302192624.69308746,904272,47.776827
2026-01-13 00:00:00,site_f5bcf8a88a,38711,26556.289101562495,10083.22042511718,1309012428.8000002,4072960,105.214539
2026-01-14 00:00:00,site_ad3433ffac,25102,16412.364480034725,10606.389524351736,584329049.5999999,1904668,75.877141
